Subject,Methods,Condition1,Task,Condition2,Label,Mental,Physical,Temporal,Task Complexity,Stress,Distractions,Performance,Effort,Frustration,Component1,Component2,Component3,Component4,Component5,Component6,Component7,Component8,Component9,mds1,mds2
16,3,UL,2,Peg,126,70,70,40,45,80,25,25,60,50,1.998805389,1.605410945,0.02718154,-0.042602621,-0.464230325,0.208219705,1.031060323,0.439762459,0.38622881,0.306017,-0.179917
16,4,VL,1,Clock,127,70,70,50,70,70,25,55,65,55,2.740182815,0.870377052,-0.189244276,-0.305983736,-0.176366633,0.33223697,0.095350884,0.446152644,0.091254156,-0.277576,-0.095038
16,4,VL,2,Peg,128,80,60,50,70,70,25,80,75,70,3.305516095,0.285989705,-0.763842892,-0.034324209,-0.368914291,-0.044800418,-0.165465786,0.249583324,0.248015629,-0.363267,-0.160688
17,1,CL,1,Clock,129,10,10,10,15,10,10,15,10,10,-2.781083336,0.64379276,-0.304022479,-0.079811102,-0.313735272,0.249407738,-0.284279831,-0.143436943,-0.064899512,0.050073,-0.460736
17,1,CL,2,Peg,130,10,10,10,10,10,10,10,30,10,-2.658629817,0.456889443,-0.326936884,0.116494221,0.036771498,-0.04552653,0.243174264,-0.08784481,-0.168863012,0.176761,0.215588
17,2,PL,1,Clock,131,30,30,15,15,15,10,95,95,20,-0.163717065,-1.585963696,-1.705548679,0.903130068,1.200881182,0.104913193,0.306136604,0.117830447,0.601944852,-0.596141,0.044567
17,2,PL,2,Peg,132,20,20,20,20,20,10,95,95,20,-0.244381728,-1.55709822,-1.679710961,1.119125442,1.142012869,-0.061431347,0.033266694,0.44377891,0.268778449,0.371764,-0.152146
17,3,UL,1,Clock,133,15,20,15,15,20,10,75,75,20,-0.877027648,-0.984114221,-1.416914074,0.947939009,0.719977932,0.120846594,0.118450298,0.296256297,0.170977268,-0.390311,0.216008
17,3,UL,2,Peg,134,20,20,25,20,15,10,25,75,20,-1.182662446,-0.266493428,-0.337422349,0.453963386,0.793158246,-0.448160882,0.68592869,0.043353894,-0.381296001,0.411833,-0.084768
17,4,VL,1,Clock,135,15,15,15,15,15,10,60,95,20,-0.922513217,-1.149135947,-1.278835617,0.904350418,1.07509782,-0.40512798,0.652251656,0.312871313,-0.164887074,-0.212929,0.272822
17,4,VL,2,Peg,136,15,15,15,15,15,10,90,95,25,-0.560987348,-1.594528711,-1.817293067,1.17595303,1.04307134,-0.158158732,0.178782877,0.267167395,0.068735465,0.377212,-0.378654
18,1,CL,1,Clock,137,20,15,55,15,20,10,10,60,35,-1.024988142,0.496932879,0.37746736,1.025647066,0.513884286,-0.757870276,0.221675218,-0.471228394,-0.692717255,-0.376908,-0.228496
18,1,CL,2,Peg,138,25,25,65,10,35,10,15,65,35,-0.453160137,0.719922623,0.542488566,1.456138374,0.578884018,-0.619646885,0.357580128,-0.305819221,-0.3852582,0.3098,-0.100285
18,2,PL,1,Clock,139,55,55,55,60,45,10,70,60,40,1.618912356,-0.194384779,0.113303661,0.149897293,0.187386337,0.420491097,-0.581988184,0.171939498,0.247504741,0.469953,0.46998
18,2,PL,2,Peg,140,45,60,50,60,60,10,65,45,60,1.730550766,0.224358607,0.0589076,0.39307559,-0.688434733,0.859571228,-0.496926298,0.180478357,-0.132857767,-0.078438,0.391823
18,3,UL,1,Clock,141,35,35,35,25,25,10,15,25,25,-1.076685345,0.862515817,0.389405551,0.00767132,-0.180578405,0.234890516,-0.029368792,-0.38821297,0.11024988,0.084138,0.032834
18,3,UL,2,Peg,142,40,30,50,30,25,10,20,45,40,-0.344106722,0.545007685,0.44200464,0.341380364,0.016633991,-0.315665907,-0.045374519,-0.572747443,-0.241326369,0.043888,-0.325162
18,4,VL,1,Clock,143,50,40,55,55,50,10,60,65,45,1.371660921,-0.101283935,0.086012193,0.461824617,-0.010293265,-0.094440854,-0.409549605,0.308787204,-0.0257168,-0.007744,-0.601399
18,4,VL,2,Peg,144,70,70,55,65,55,5,70,70,55,2.496063124,-0.435814659,0.420020305,0.123306481,-0.15477061,0.528993265,-0.091448733,0.048838852,0.372986613,0.172436,-0.272527
19,1,CL,1,Clock,145,50,30,15,30,10,0,5,25,25,-1.529020628,0.120774572,0.652356383,-0.741508536,-0.572624309,-0.007139828,0.338852008,-0.667732937,0.33327345,-0.465705,-0.083706
19,1,CL,2,Peg,146,35,20,0,20,0,0,10,25,20,-2.341038451,-0.18647601,0.09886578,-0.61904502,-0.494159832,0.065184964,0.398675725,-0.641736342,0.231154475,-0.362002,0.514775
19,2,PL,1,Clock,147,95,80,80,95,45,0,80,95,95,4.411844244,-1.323901799,0.960938786,-0.145922242,-0.186128001,0.027363916,-0.295316176,-0.818724873,-0.290150153,-0.612949,0.366682
